9.	9.	0.
7.	9.	0.
8.	8.	0.
8.	9.	-1.
9.	7.	0.
9.	8.	-1.
9.	9.	-2.
5.	9.	0.
6.	8.	0.
6.	9.	-1.
7.	7.	0.
7.	8.	-1.
7.	9.	-2.
8.	6.	0.
8.	7.	-1.
8.	8.	-2.
8.	9.	-3.
9.	5.	0.
9.	6.	-1.
9.	7.	-2.
9.	8.	-3.
9.	9.	-4.
3.	9.	0.
4.	8.	0.
4.	9.	-1.
5.	7.	0.
5.	8.	-1.
5.	9.	-2.
6.	6.	0.
6.	7.	-1.
6.	8.	-2.
6.	9.	-3.
7.	5.	0.
7.	6.	-1.
7.	7.	-2.
7.	8.	-3.
7.	9.	-4.
8.	4.	0.
8.	5.	-1.
8.	6.	-2.
8.	7.	-3.
8.	8.	-4.
8.	9.	-5.
9.	3.	0.
9.	4.	-1.
9.	5.	-2.
9.	6.	-3.
9.	7.	-4.
9.	8.	-5.
9.	9.	-6.
1.	9.	0.
2.	8.	0.
2.	9.	-1.
3.	7.	0.
3.	8.	-1.
3.	9.	-2.
4.	6.	0.
4.	7.	-1.
4.	8.	-2.
4.	9.	-3.
5.	5.	0.
5.	6.	-1.
5.	7.	-2.
5.	8.	-3.
5.	9.	-4.
6.	4.	0.
6.	5.	-1.
6.	6.	-2.
6.	7.	-3.
6.	8.	-4.
6.	9.	-5.
7.	3.	0.
7.	4.	-1.
7.	5.	-2.
7.	6.	-3.
7.	7.	-4.
7.	8.	-5.
7.	9.	-6.
8.	2.	0.
8.	3.	-1.
8.	4.	-2.
8.	5.	-3.
8.	6.	-4.
8.	7.	-5.
8.	8.	-6.
8.	9.	-7.
9.	1.	0.
9.	2.	-1.
9.	3.	-2.
9.	4.	-3.
9.	5.	-4.
9.	6.	-5.
9.	7.	-6.
9.	8.	-7.
9.	9.	-8.
-1.	9.	0.
0.	8.	0.
0.	9.	-1.
1.	7.	0.
1.	8.	-1.
1.	9.	-2.
2.	6.	0.
2.	7.	-1.
2.	8.	-2.
2.	9.	-3.
3.	5.	0.
3.	6.	-1.
3.	7.	-2.
3.	8.	-3.
3.	9.	-4.
4.	4.	0.
4.	5.	-1.
4.	6.	-2.
4.	7.	-3.
4.	8.	-4.
4.	9.	-5.
5.	3.	0.
5.	4.	-1.
5.	5.	-2.
5.	6.	-3.
5.	7.	-4.
5.	8.	-5.
5.	9.	-6.
6.	2.	0.
